"name","label","region","district","ta","facility_code","level","emonc","ncu","latitude","longitude"
"Jalasi Health Centre","Jalasi Health Centre","Southern","Mangochi","TA Jalasi","MG2504","2","BEmONC","No","-14.3628727","35.4426767"
"Kadango Health Centre","Kadango Health Centre","Southern","Mangochi","TA Namabvi","MG2535","2","BEmONC","No","-14.0621867","35.1863117"
"Kapire Health Centre","Kapire Health Centre","Southern","Mangochi","TA Chilipa","MG2505","2","BEmONC","No","-14.785935","34.9994745"
"Katema Health Centre","Katema Health Centre","Southern","Mangochi","TA Mponda","MG2506","2","BEmONC","No","-14.5257522","35.0372948"
"Katuli Health Centre","Katuli Health Centre","Southern","Mangochi","TA Katuli","MG2507","2","Non-EmONC","No","-14.1797487","35.4447417"
"Koche Community Hospital","Koche Community Hospital","Southern","Mangochi","STA Mambo","MG2508","3","CEmONC","No","-14.3337124","35.1432668"
"Kukalanga Health Centre","Kukalanga Health Centre","Southern","Mangochi","TA Chimwala","MG2509","2","BEmONC","No","-14.6374084","35.1803552"
"Lugola Health Centre","Lugola Health Centre","Southern","Mangochi","TA Chilawe","MG2510","2","BEmONC","No","-13.9614286","35.1428359"
"Lulanga Health Centre","Lulanga Health Centre","Southern","Mangochi","TA Lulanga","MG2511","2","BEmONC","No","-13.6871091","34.9170946"
"Lungwena Health Centre","Lungwena Health Centre","Southern","Mangochi","TA Namabvi","MG2512","2","BEmONC","No","-14.2450194","35.2480024"
"Luwalika Health Centre","Luwalika Health Centre","Southern","Mangochi","TA Katuli","MG2513","2","Non-EmONC","No","-14.2379355","35.4695482"
"Maganga Dispensary","Maganga Dispensary","Southern","Mangochi","TA Hamisi Makanjira","MG2582","1","Non-EmONC","No","-13.6649301","34.8583049"
"Makanjira Health Centre","Makanjira Health Centre","Southern","Mangochi","TA Makanjira","MG2514","2","BEmONC","No","-13.7152829","35.0469667"
"Malembo Health Centre","Malembo Health Centre","Southern","Mangochi","TA Namkumba","MG2515","2","BEmONC","No","-14.237795","34.8316467"
"Maleta Dispensary","Maleta Dispensary","Southern","Mangochi","TA Katuli","MG2550","1","Non-EmONC","No","-13.9296483","35.263575"
"Malombe Health Centre","Malombe Health Centre","Southern","Mangochi","TA Chowe","MG2536","2","BEmONC","No","-14.6304979","35.349086"
"Malukula Health Centre","Malukula Health Centre","Southern","Mangochi","TA Chowe","MG2542","2","Non-EmONC","No","-14.4436017","35.3555717"
"Mamakhadija Health Centre","Mamakhadija Health Centre","Southern","Mangochi","TA Jalasi","MG2564","2","Non-EmONC","No","-14.37077","35.494085"
"Mangochi District Hospital","Mangochi District Hospital","Southern","Mangochi","TA Mponda","MG2517","3","CEmONC","Yes","-14.4819318","35.2647579"
"Mase Health Centre","Mase Health Centre","Southern","Mangochi","TA Chowe","MG2518","2","Non-EmONC","No","-14.6358596","35.3437106"
"Mbalama Health Centre","Mbalama Health Centre","Southern","Mangochi","TA Bwananyambi","MG2556","2","BEmONC","No","-14.714475","35.4984583"
"Mehboob Community Hospital","Mehboob Community Hospital","Southern","Mangochi","STA Mambo","MG2586","2","BEmONC","No","-14.3645827","35.1671142"
"Mkucingajwambone Health Centre","Mkucingajwambone Health Centre","Southern","Mangochi","TA Chowe","MG2543","2","BEmONC","No","-14.5301402","35.3592531"
"Mkumba Health Centre","Mkumba Health Centre","Southern","Mangochi","TA Bwananyambi","MG2519","2","BEmONC","No","-14.5945907","35.5252514"
"Monkeybay Community Hospital","Monkeybay Community Hospital","Southern","Mangochi","TA Namkumba","MG2520","3","CEmONC","Yes","-14.0847823","34.9109517"
